id,lineage,assembly
MGYG000000001,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp902362365,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000001.fna.gz
MGYG000000002,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000002.fna.gz
MGYG000000003,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000003.fna.gz
MGYG000000004,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000004.fna.gz
MGYG000000005,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000005.fna.gz
MGYG000000006,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000006.fna.gz
MGYG000000007,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000007.fna.gz
MGYG000000008,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000008.fna.gz
MGYG000000009,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000009.fna.gz
MGYG000000010,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000010.fna.gz
MGYG000000011,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000011.fna.gz
MGYG000000012,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000012.fna.gz
MGYG000000013,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp902362375,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000013.fna.gz
MGYG000000014,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000014.fna.gz
MGYG000000015,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000015.fna.gz
MGYG000000016,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000016.fna.gz
MGYG000000017,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902362275,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000017.fna.gz
MGYG000000018,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000018.fna.gz
MGYG000000019,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_O,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000019.fna.gz
MGYG000000020,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000020.fna.gz
MGYG000000021,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis_A,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000021.fna.gz
MGYG000000022,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000022.fna.gz
MGYG000000023,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000023.fna.gz
MGYG000000024,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000024.fna.gz
MGYG000000025,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000025.fna.gz
MGYG000000026,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000026.fna.gz
MGYG000000027,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii,/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000027.fna.gz
